no_below,no_above,idf,bool,norm,alpha,score
4,0.1,False,False,l2,1.0,0.750051110112
4,0.1,False,False,l2,10.0,0.748413179705
4,0.1,False,True,None,0.001,0.724021893371
4,0.1,False,True,None,0.01,0.731188925081
4,0.1,False,True,None,0.1,0.739459990986
4,0.1,False,True,None,1.0,0.752206549534
4,0.1,False,True,None,10.0,0.772852192616
4,0.3,True,False,None,0.001,0.713531650231
4,0.3,True,False,None,0.01,0.717453798768
4,0.3,True,False,None,0.1,0.723080737129
4,0.3,True,False,None,1.0,0.731608025589
4,0.3,True,False,None,10.0,0.743847921454
4,0.3,True,False,l2,0.001,0.728821890873
4,0.3,True,False,l2,0.01,0.735513671794
4,0.3,True,False,l2,0.1,0.750103915537
4,0.3,True,False,l2,1.0,0.768032168887
4,0.3,True,False,l2,10.0,0.77530176416
4,0.3,False,False,None,0.001,0.742598513474
4,0.3,False,False,None,0.01,0.747715036935
4,0.3,False,False,None,0.1,0.753878406709
4,0.3,False,False,None,1.0,0.76189269117
4,0.3,False,False,None,10.0,0.787373388114
4,0.3,False,False,l2,0.001,0.754666777533
4,0.3,False,False,l2,0.01,0.762366715451
4,0.3,False,False,l2,0.1,0.77096570587
4,0.3,False,False,l2,1.0,0.778350951374
4,0.3,False,False,l2,10.0,0.776073749947
4,0.3,False,True,None,0.001,0.749740997058
4,0.3,False,True,None,0.01,0.758063171931
4,0.3,False,True,None,0.1,0.767631898755
4,0.3,False,True,None,1.0,0.77739350485
4,0.3,False,True,None,10.0,0.801240461909
4,0.5,True,False,None,0.001,0.717424461025
4,0.5,True,False,None,0.01,0.721417335872
4,0.5,True,False,None,0.1,0.72725
4,0.5,True,False,None,1.0,0.734692165744
4,0.5,True,False,None,10.0,0.748491115519
4,0.5,True,False,l2,0.001,0.732665099204
4,0.5,True,False,l2,0.01,0.7400972609
4,0.5,True,False,l2,0.1,0.75295006929
4,0.5,True,False,l2,1.0,0.769932634092
4,0.5,True,False,l2,10.0,0.76790579137
4,0.5,False,False,None,0.001,0.750021020769
4,0.5,False,False,None,0.01,0.75483326298
4,0.5,False,False,None,0.1,0.759663579985
4,0.5,False,False,None,1.0,0.767332650273
4,0.5,False,False,None,10.0,0.792291753005
4,0.5,False,False,l2,0.001,0.763197713517
4,0.5,False,False,l2,0.01,0.768996574908
4,0.5,False,False,l2,0.1,0.775659886572
4,0.5,False,False,l2,1.0,0.77992211164
4,0.5,False,False,l2,10.0,0.761266693466
4,0.5,False,True,None,0.001,0.749210626026
4,0.5,False,True,None,0.01,0.756841480979
4,0.5,False,True,None,0.1,0.765270841337
4,0.5,False,True,None,1.0,0.773824377232
4,0.5,False,True,None,10.0,0.798228017385
4,0.7,True,False,None,0.001,0.71772591857
4,0.7,True,False,None,0.01,0.721822641666
4,0.7,True,False,None,0.1,0.727417262876
4,0.7,True,False,None,1.0,0.735271807838
4,0.7,True,False,None,10.0,0.748888230062
4,0.7,True,False,l2,0.001,0.733670005795
4,0.7,True,False,l2,0.01,0.740861291938
4,0.7,True,False,l2,0.1,0.754352683276
4,0.7,True,False,l2,1.0,0.767215375334
4,0.7,True,False,l2,10.0,0.752661863984
4,0.7,False,False,None,0.001,0.75123642051
4,0.7,False,False,None,0.01,0.755002336548
4,0.7,False,False,None,0.1,0.760711536817
4,0.7,False,False,None,1.0,0.768325169717
4,0.7,False,False,None,10.0,0.792059303933
4,0.7,False,False,l2,0.001,0.762034013317
4,0.7,False,False,l2,0.01,0.767990444909
4,0.7,False,False,l2,0.1,0.774541066965
4,0.7,False,False,l2,1.0,0.773516706339
4,0.7,False,False,l2,10.0,0.73678809646
4,0.7,False,True,None,0.001,0.744618270173
4,0.7,False,True,None,0.01,0.752369109386
4,0.7,False,True,None,0.1,0.760451342354
4,0.7,False,True,None,1.0,0.766829438437
4,0.7,False,True,None,10.0,0.791149763397
5,0.1,True,False,None,0.001,0.708765696289
5,0.1,True,False,None,0.01,0.708820790997
5,0.1,True,False,None,0.1,0.711485277371
5,0.1,True,False,None,1.0,0.714531032791
5,0.1,True,False,None,10.0,0.721181941644
5,0.1,True,False,l2,0.001,0.71734924218
5,0.1,True,False,l2,0.01,0.720317691871
5,0.1,True,False,l2,0.1,0.726299006582
5,0.1,True,False,l2,1.0,0.738192850115
5,0.1,True,False,l2,10.0,0.745793024957
5,0.1,False,False,None,0.001,0.722984807136
5,0.1,False,False,None,0.01,0.725496607537
5,0.1,False,False,None,0.1,0.727354923557
5,0.1,False,False,None,1.0,0.732173913043
5,0.1,False,False,None,10.0,0.748369958947
5,0.1,False,False,l2,0.001,0.73089269026
5,0.1,False,False,l2,0.01,0.733019832345
5,0.1,False,False,l2,0.1,0.737865677792
5,0.1,False,False,l2,1.0,0.748511110198
5,0.1,False,False,l2,10.0,0.7482236388
5,0.1,False,True,None,0.001,0.736747894715
5,0.1,False,True,None,0.01,0.740586457568
5,0.1,False,True,None,0.1,0.744883701816
5,0.1,False,True,None,1.0,0.751344197204
5,0.1,False,True,None,10.0,0.770116330556
5,0.3,True,False,None,0.001,0.729044994653
5,0.3,True,False,None,0.01,0.730477133895
5,0.3,True,False,None,0.1,0.733947237432
5,0.3,True,False,None,1.0,0.737865698427
5,0.3,True,False,None,10.0,0.746612977644
5,0.3,True,False,l2,0.001,0.741038801068
5,0.3,True,False,l2,0.01,0.744812763495
5,0.3,True,False,l2,0.1,0.752233074547
5,0.3,True,False,l2,1.0,0.766086553453
5,0.3,True,False,l2,10.0,0.773553719008
5,0.3,False,False,None,0.001,0.752476071577
5,0.3,False,False,None,0.01,0.754680708793
5,0.3,False,False,None,0.1,0.758267154082
5,0.3,False,False,None,1.0,0.762158956109
5,0.3,False,False,None,10.0,0.785373478118
5,0.3,False,False,l2,0.001,0.760817007086
5,0.3,False,False,l2,0.01,0.763921502851
5,0.3,False,False,l2,0.1,0.769549062658
5,0.3,False,False,l2,1.0,0.776853188418
5,0.3,False,False,l2,10.0,0.773802924999
5,0.3,False,True,None,0.001,0.760337447534
5,0.3,False,True,None,0.01,0.765013163943
5,0.3,False,True,None,0.1,0.769314792253
5,0.3,False,True,None,1.0,0.776941295889
5,0.3,False,True,None,10.0,0.796914955044
5,0.5,True,False,None,0.001,0.733203464998
5,0.5,True,False,None,0.01,0.735002912056
5,0.5,True,False,None,0.1,0.738321274727
5,0.5,True,False,None,1.0,0.741526672561
5,0.5,True,False,None,10.0,0.749798669097
5,0.5,True,False,l2,0.001,0.745164489998
5,0.5,True,False,l2,0.01,0.748782011243
5,0.5,True,False,l2,0.1,0.75566984234
5,0.5,True,False,l2,1.0,0.767847201405
5,0.5,True,False,l2,10.0,0.765407028077
5,0.5,False,False,None,0.001,0.7594723311
5,0.5,False,False,None,0.01,0.76110617033
5,0.5,False,False,None,0.1,0.763162378599
5,0.5,False,False,None,1.0,0.76752546435
5,0.5,False,False,None,10.0,0.789548614019
5,0.5,False,False,l2,0.001,0.767446763652
5,0.5,False,False,l2,0.01,0.770509178785
5,0.5,False,False,l2,0.1,0.774612950133
5,0.5,False,False,l2,1.0,0.777589576547
5,0.5,False,False,l2,10.0,0.759591251345
5,0.5,False,True,None,0.001,0.758360850055
5,0.5,False,True,None,0.01,0.762755861952
5,0.5,False,True,None,0.1,0.766251017697
5,0.5,False,True,None,1.0,0.771963182231
5,0.5,False,True,None,10.0,0.793119479312
5,0.7,True,False,None,0.001,0.73253493014
5,0.7,True,False,None,0.01,0.734538773124
5,0.7,True,False,None,0.1,0.737708359575
5,0.7,True,False,None,1.0,0.740869124112
5,0.7,True,False,None,10.0,0.750787033098
5,0.7,True,False,l2,0.001,0.746121297602
5,0.7,True,False,l2,0.01,0.74991638796
5,0.7,True,False,l2,0.1,0.756212166109
5,0.7,True,False,l2,1.0,0.766040349814
5,0.7,True,False,l2,10.0,0.750352352807
5,0.7,False,False,None,0.001,0.760410482571
5,0.7,False,False,None,0.01,0.762460594701
5,0.7,False,False,None,0.1,0.764892431645
5,0.7,False,False,None,1.0,0.767865604135
5,0.7,False,False,None,10.0,0.788986951565
5,0.7,False,False,l2,0.001,0.768289054198
5,0.7,False,False,l2,0.01,0.770165604005
5,0.7,False,False,l2,0.1,0.773194984868
5,0.7,False,False,l2,1.0,0.770803824363
5,0.7,False,False,l2,10.0,0.733761064019
5,0.7,False,True,None,0.001,0.753245640344
5,0.7,False,True,None,0.01,0.757699763084
5,0.7,False,True,None,0.1,0.761119548709
5,0.7,False,True,None,1.0,0.764886164623
5,0.7,False,True,None,10.0,0.785082992024
10,0.1,True,False,None,0.001,0.724223397224
10,0.1,True,False,None,0.01,0.724357384908
10,0.1,True,False,None,0.1,0.724424420287
10,0.1,True,False,None,1.0,0.724909986343
10,0.1,True,False,None,10.0,0.728877470683
10,0.1,True,False,l2,0.001,0.730338461538
10,0.1,True,False,l2,0.01,0.73061760841
10,0.1,True,False,l2,0.1,0.732006756478
10,0.1,True,False,l2,1.0,0.739786892665
10,0.1,True,False,l2,10.0,0.745404262242
10,0.1,False,False,None,0.001,0.735273361285
10,0.1,False,False,None,0.01,0.735473688582
10,0.1,False,False,None,0.1,0.736150937123
10,0.1,False,False,None,1.0,0.737231434152
10,0.1,False,False,None,10.0,0.744778442133
10,0.1,False,False,l2,0.001,0.739458390009
10,0.1,False,False,l2,0.01,0.740108099187
10,0.1,False,False,l2,0.1,0.741952811867
10,0.1,False,False,l2,1.0,0.748795255159
10,0.1,False,False,l2,10.0,0.748323102565
10,0.1,False,True,None,0.001,0.749688564073
10,0.1,False,True,None,0.01,0.749792324306
10,0.1,False,True,None,0.1,0.750634122001
10,0.1,False,True,None,1.0,0.754005576595
10,0.1,False,True,None,10.0,0.764966376907
10,0.3,True,False,None,0.001,0.748096099634
10,0.3,True,False,None,0.01,0.748210526316
10,0.3,True,False,None,0.1,0.748588760637
10,0.3,True,False,None,1.0,0.748903508772
10,0.3,True,False,None,10.0,0.753737015455
10,0.3,True,False,l2,0.001,0.757370750856
10,0.3,True,False,l2,0.01,0.757922903253
10,0.3,True,False,l2,0.1,0.761573589174
10,0.3,True,False,l2,1.0,0.770137193839
10,0.3,True,False,l2,10.0,0.774763353617
10,0.3,False,False,None,0.001,0.765547000592
10,0.3,False,False,None,0.01,0.765662038605
10,0.3,False,False,None,0.1,0.766173791467
10,0.3,False,False,None,1.0,0.767965404672
10,0.3,False,False,None,10.0,0.78001503885
10,0.3,False,False,l2,0.001,0.771392511569
10,0.3,False,False,l2,0.01,0.771653543307
10,0.3,False,False,l2,0.1,0.773932128989
10,0.3,False,False,l2,1.0,0.776928304451
10,0.3,False,False,l2,10.0,0.775527569775
10,0.3,False,True,None,0.001,0.773644067797
10,0.3,False,True,None,0.01,0.774122435137
10,0.3,False,True,None,0.1,0.774784711322
10,0.3,False,True,None,1.0,0.777338939143
10,0.3,False,True,None,10.0,0.790912139504
10,0.5,True,False,None,0.001,0.753874820022
10,0.5,True,False,None,0.01,0.754003897975
10,0.5,True,False,None,0.1,0.754398609403
10,0.5,True,False,None,1.0,0.754867444327
10,0.5,True,False,None,10.0,0.757664668112
10,0.5,True,False,l2,0.001,0.761424307395
10,0.5,True,False,l2,0.01,0.762201541247
10,0.5,True,False,l2,0.1,0.764251003592
10,0.5,True,False,l2,1.0,0.771872863978
10,0.5,True,False,l2,10.0,0.770686407639
10,0.5,False,False,None,0.001,0.771313856142
10,0.5,False,False,None,0.01,0.771485960939
10,0.5,False,False,None,0.1,0.771772157316
10,0.5,False,False,None,1.0,0.772012511247
10,0.5,False,False,None,10.0,0.783807866933
10,0.5,False,False,l2,0.001,0.777337930447
10,0.5,False,False,l2,0.01,0.777474635519
10,0.5,False,False,l2,0.1,0.77860047079
10,0.5,False,False,l2,1.0,0.777608893907
10,0.5,False,False,l2,10.0,0.761266693466
10,0.5,False,True,None,0.001,0.769648865499
10,0.5,False,True,None,0.01,0.770246934899
10,0.5,False,True,None,0.1,0.770613656007
10,0.5,False,True,None,1.0,0.773128898129
10,0.5,False,True,None,10.0,0.785379488282
10,0.7,True,False,None,0.001,0.753198180968
10,0.7,True,False,None,0.01,0.753274366389
10,0.7,True,False,None,0.1,0.753806890685
10,0.7,True,False,None,1.0,0.75470573205
10,0.7,True,False,None,10.0,0.758600085361
10,0.7,True,False,l2,0.001,0.761591081834
10,0.7,True,False,l2,0.01,0.762178619756
10,0.7,True,False,l2,0.1,0.764096467391
10,0.7,True,False,l2,1.0,0.770737178105
10,0.7,True,False,l2,10.0,0.758880855077
10,0.7,False,False,None,0.001,0.771429801524
10,0.7,False,False,None,0.01,0.77160334281
10,0.7,False,False,None,0.1,0.771711944804
10,0.7,False,False,None,1.0,0.772856772857
10,0.7,False,False,None,10.0,0.783908833862
10,0.7,False,False,l2,0.001,0.777386675824
10,0.7,False,False,l2,0.01,0.77810269201
10,0.7,False,False,l2,0.1,0.779180356216
10,0.7,False,False,l2,1.0,0.773544085832
10,0.7,False,False,l2,10.0,0.739756573446
10,0.7,False,True,None,0.001,0.762654766592
10,0.7,False,True,None,0.01,0.763364125914
10,0.7,False,True,None,0.1,0.763637958253
10,0.7,False,True,None,1.0,0.763740374037
10,0.7,False,True,None,10.0,0.774839673197
