no_below,no_above,idf,bool,norm,alpha,score
2,0.01,True,False,None,0.001,0.607401338249
2,0.01,True,False,None,0.01,0.613043478261
2,0.01,True,False,None,0.1,0.631705044589
2,0.01,True,False,None,1.0,0.654970760234
2,0.01,True,False,l2,0.001,0.125061304561
2,0.01,True,False,l2,0.01,0.130626223092
2,0.01,True,False,l2,0.1,0.119733924612
2,0.01,True,False,l2,1.0,0.00839234198794
2,0.01,False,False,None,0.001,0.476427750096
2,0.01,False,False,None,0.01,0.492517522258
2,0.01,False,False,None,0.1,0.542459736457
2,0.01,False,False,None,1.0,0.497187851519
2,0.01,False,False,l2,0.001,0.11053283767
2,0.01,False,False,l2,0.01,0.111936602278
2,0.01,False,False,l2,0.1,0.0941883767535
2,0.01,False,False,l2,1.0,0.00315540362871
2,0.01,False,True,None,0.001,0.465314009662
2,0.01,False,True,None,0.01,0.483901695561
2,0.01,False,True,None,0.1,0.521481481481
2,0.01,False,True,None,1.0,0.484342379958
2,0.0316227766017,True,False,None,0.001,0.63182251259
2,0.0316227766017,True,False,None,0.01,0.639200324193
2,0.0316227766017,True,False,None,0.1,0.653386454183
2,0.0316227766017,True,False,None,1.0,0.68582904481
2,0.0316227766017,True,False,l2,0.001,0.139240506329
2,0.0316227766017,True,False,l2,0.01,0.143828960155
2,0.0316227766017,True,False,l2,0.1,0.13163689748
2,0.0316227766017,True,False,l2,1.0,0.0104794341106
2,0.0316227766017,False,False,None,0.001,0.53953826577
2,0.0316227766017,False,False,None,0.01,0.55770609319
2,0.0316227766017,False,False,None,0.1,0.592823712949
2,0.0316227766017,False,False,None,1.0,0.560168895144
2,0.0316227766017,False,False,l2,0.001,0.117472852912
2,0.0316227766017,False,False,l2,0.01,0.117937330373
2,0.0316227766017,False,False,l2,0.1,0.096
2,0.0316227766017,False,False,l2,1.0,0.00472937467157
2,0.0316227766017,False,True,None,0.001,0.523861967695
2,0.0316227766017,False,True,None,0.01,0.547060944825
2,0.0316227766017,False,True,None,0.1,0.585942936674
2,0.0316227766017,False,True,None,1.0,0.551944592435
2,0.1,True,False,None,0.001,0.649614291514
2,0.1,True,False,None,0.01,0.658078368223
2,0.1,True,False,None,0.1,0.673504273504
2,0.1,True,False,None,1.0,0.696559433611
2,0.1,True,False,l2,0.001,0.163902907955
2,0.1,True,False,l2,0.01,0.168385704006
2,0.1,True,False,l2,0.1,0.145251396648
2,0.1,True,False,l2,1.0,0.00891452543262
2,0.1,False,False,None,0.001,0.579867179308
2,0.1,False,False,None,0.01,0.603663756206
2,0.1,False,False,None,0.1,0.637877039723
2,0.1,False,False,None,1.0,0.603925515853
2,0.1,False,False,l2,0.001,0.125891320384
2,0.1,False,False,l2,0.01,0.131862745098
2,0.1,False,False,l2,0.1,0.105053522529
2,0.1,False,False,l2,1.0,0.0026301946344
2,0.1,False,True,None,0.001,0.574850299401
2,0.1,False,True,None,0.01,0.597128524477
2,0.1,False,True,None,0.1,0.631561406432
2,0.1,False,True,None,1.0,0.591133004926
2,0.316227766017,True,False,None,0.001,0.649803868524
2,0.316227766017,True,False,None,0.01,0.657721722796
2,0.316227766017,True,False,None,0.1,0.673498883195
2,0.316227766017,True,False,None,1.0,0.69708617483
2,0.316227766017,True,False,l2,0.001,0.16301995672
2,0.316227766017,True,False,l2,0.01,0.167066730677
2,0.316227766017,True,False,l2,0.1,0.140282513395
2,0.316227766017,True,False,l2,1.0,0.00891452543262
2,0.316227766017,False,False,None,0.001,0.580667715434
2,0.316227766017,False,False,None,0.01,0.602401372213
2,0.316227766017,False,False,None,0.1,0.637413394919
2,0.316227766017,False,False,None,1.0,0.60248655914
2,0.316227766017,False,False,l2,0.001,0.121391561806
2,0.316227766017,False,False,l2,0.01,0.124630541872
2,0.316227766017,False,False,l2,0.1,0.0961442163245
2,0.316227766017,False,False,l2,1.0,0.00157894736842
2,0.316227766017,False,True,None,0.001,0.575895994378
2,0.316227766017,False,True,None,0.01,0.598101811907
2,0.316227766017,False,True,None,0.1,0.632051922117
2,0.316227766017,False,True,None,1.0,0.589394969409
3,0.01,True,False,None,0.001,0.618910424306
3,0.01,True,False,None,0.01,0.624494587192
3,0.01,True,False,None,0.1,0.63593045718
3,0.01,True,False,None,1.0,0.656683168317
3,0.01,True,False,l2,0.001,0.118343195266
3,0.01,True,False,l2,0.01,0.123924268503
3,0.01,True,False,l2,0.1,0.115175481957
3,0.01,True,False,l2,1.0,0.0125621565035
3,0.01,False,False,None,0.001,0.490774205821
3,0.01,False,False,None,0.01,0.506676697386
3,0.01,False,False,None,0.1,0.538588450962
3,0.01,False,False,None,1.0,0.512145373632
3,0.01,False,False,l2,0.001,0.100697906281
3,0.01,False,False,l2,0.01,0.107302533532
3,0.01,False,False,l2,0.1,0.088877730354
3,0.01,False,False,l2,1.0,0.00734715297822
3,0.01,False,True,None,0.001,0.476866961029
3,0.01,False,True,None,0.01,0.487721302113
3,0.01,False,True,None,0.1,0.530289081201
3,0.01,False,True,None,1.0,0.512648809524
3,0.0316227766017,True,False,None,0.001,0.642595499738
3,0.0316227766017,True,False,None,0.01,0.648789377766
3,0.0316227766017,True,False,None,0.1,0.664183896237
3,0.0316227766017,True,False,None,1.0,0.68451573103
3,0.0316227766017,True,False,l2,0.001,0.134540117417
3,0.0316227766017,True,False,l2,0.01,0.139092240117
3,0.0316227766017,True,False,l2,0.1,0.132713026445
3,0.0316227766017,True,False,l2,1.0,0.0156739811912
3,0.0316227766017,False,False,None,0.001,0.551811137142
3,0.0316227766017,False,False,None,0.01,0.568327402135
3,0.0316227766017,False,False,None,0.1,0.599000516974
3,0.0316227766017,False,False,None,1.0,0.569745278115
3,0.0316227766017,False,False,l2,0.001,0.109208240258
3,0.0316227766017,False,False,l2,0.01,0.115289460663
3,0.0316227766017,False,False,l2,0.1,0.0964758810297
3,0.0316227766017,False,False,l2,1.0,0.00734715297822
3,0.0316227766017,False,True,None,0.001,0.538126361656
3,0.0316227766017,False,True,None,0.01,0.555595280658
3,0.0316227766017,False,True,None,0.1,0.587381158168
3,0.0316227766017,False,True,None,1.0,0.560420315236
3,0.1,True,False,None,0.001,0.659010831267
3,0.1,True,False,None,0.01,0.666234439834
3,0.1,True,False,None,0.1,0.680693700587
3,0.1,True,False,None,1.0,0.694127743043
3,0.1,True,False,l2,0.001,0.153920619555
3,0.1,True,False,l2,0.01,0.160598022667
3,0.1,True,False,l2,0.1,0.151272727273
3,0.1,True,False,l2,1.0,0.0161922172891
3,0.1,False,False,None,0.001,0.590650336381
3,0.1,False,False,None,0.01,0.611995933582
3,0.1,False,False,None,0.1,0.638403167272
3,0.1,False,False,None,1.0,0.623705408516
3,0.1,False,False,l2,0.001,0.123706259241
3,0.1,False,False,l2,0.01,0.12972972973
3,0.1,False,False,l2,0.1,0.104581673307
3,0.1,False,False,l2,1.0,0.00472937467157
3,0.1,False,True,None,0.001,0.589418907199
3,0.1,False,True,None,0.01,0.607179487179
3,0.1,False,True,None,0.1,0.634746467165
3,0.1,False,True,None,1.0,0.611371237458
3,0.316227766017,True,False,None,0.001,0.657963446475
3,0.316227766017,True,False,None,0.01,0.665369144933
3,0.316227766017,True,False,None,0.1,0.679755226925
3,0.316227766017,True,False,None,1.0,0.694512493876
3,0.316227766017,True,False,l2,0.001,0.15261627907
3,0.316227766017,True,False,l2,0.01,0.160193003619
3,0.316227766017,True,False,l2,0.1,0.14947828197
3,0.316227766017,True,False,l2,1.0,0.0161922172891
3,0.316227766017,False,False,None,0.001,0.594175426504
3,0.316227766017,False,False,None,0.01,0.615723483565
3,0.316227766017,False,False,None,0.1,0.640052787859
3,0.316227766017,False,False,None,1.0,0.625676340384
3,0.316227766017,False,False,l2,0.001,0.120088954781
3,0.316227766017,False,False,l2,0.01,0.122871946706
3,0.316227766017,False,False,l2,0.1,0.0975243810953
3,0.316227766017,False,False,l2,1.0,0.00368033648791
3,0.316227766017,False,True,None,0.001,0.589195761681
3,0.316227766017,False,True,None,0.01,0.609393680615
3,0.316227766017,False,True,None,0.1,0.634672866157
3,0.316227766017,False,True,None,1.0,0.612347331437
4,0.01,True,False,None,0.001,0.627924528302
4,0.01,True,False,None,0.01,0.631842665665
4,0.01,True,False,None,0.1,0.638916500994
4,0.01,True,False,None,1.0,0.655305777133
4,0.01,True,False,l2,0.001,0.104503607863
4,0.01,True,False,l2,0.01,0.11017369727
4,0.01,True,False,l2,0.1,0.105970149254
4,0.01,True,False,l2,1.0,0.0177499347429
4,0.01,False,False,None,0.001,0.510142749812
4,0.01,False,False,None,0.01,0.520491803279
4,0.01,False,False,None,0.1,0.550472040668
4,0.01,False,False,None,1.0,0.528163862473
4,0.01,False,False,l2,0.001,0.088877730354
4,0.01,False,False,l2,0.01,0.0936639118457
4,0.01,False,False,l2,0.1,0.0856207504407
4,0.01,False,False,l2,1.0,0.00630086636913
4,0.01,False,True,None,0.001,0.492406985573
4,0.01,False,True,None,0.01,0.502167766258
4,0.01,False,True,None,0.1,0.534973379842
4,0.01,False,True,None,1.0,0.514370480252
4,0.0316227766017,True,False,None,0.001,0.650720100188
