no_below,no_above,idf,bool,norm,C,score
4,0.1,False,False,l2,1.0,0.776827242525
4,0.1,False,False,l2,10.0,0.763442205815
4,0.1,False,True,None,0.001,0.761290896159
4,0.1,False,True,None,0.01,0.755255189362
4,0.1,False,True,None,0.1,0.741470744211
4,0.1,False,True,None,1.0,0.728051584975
4,0.1,False,True,None,10.0,0.723817299406
4,0.3,True,False,None,0.001,0.784821959718
4,0.3,True,False,None,0.01,0.779546715609
4,0.3,True,False,None,0.1,0.77752597597
4,0.3,True,False,None,1.0,0.776903336185
4,0.3,True,False,None,10.0,0.776903336185
4,0.3,True,False,l2,0.001,0.774138226719
4,0.3,True,False,l2,0.01,0.777915473698
4,0.3,True,False,l2,0.1,0.79358598103
4,0.3,True,False,l2,1.0,0.796766548163
4,0.3,True,False,l2,10.0,0.783949565514
4,0.3,False,False,None,0.001,0.769223982
4,0.3,False,False,None,0.01,0.749228498591
4,0.3,False,False,None,0.1,0.728187305652
4,0.3,False,False,None,1.0,0.708905876284
4,0.3,False,False,None,10.0,0.703801528158
4,0.3,False,False,l2,0.001,0.746231046618
4,0.3,False,False,l2,0.01,0.756905365351
4,0.3,False,False,l2,0.1,0.780318602261
4,0.3,False,False,l2,1.0,0.784459546096
4,0.3,False,False,l2,10.0,0.768089693834
4,0.3,False,True,None,0.001,0.789526249511
4,0.3,False,True,None,0.01,0.772612518499
4,0.3,False,True,None,0.1,0.75841383265
4,0.3,False,True,None,1.0,0.745858585859
4,0.3,False,True,None,10.0,0.742006764374
4,0.5,True,False,None,0.001,0.807356245319
4,0.5,True,False,None,0.01,0.801553819807
4,0.5,True,False,None,0.1,0.800050175615
4,0.5,True,False,None,1.0,0.79991635299
4,0.5,True,False,None,10.0,0.79991635299
4,0.5,True,False,l2,0.001,0.790549711571
4,0.5,True,False,l2,0.01,0.800753295669
4,0.5,True,False,l2,0.1,0.817750790218
4,0.5,True,False,l2,1.0,0.814885734504
4,0.5,True,False,l2,10.0,0.804182350481
4,0.5,False,False,None,0.001,0.797015302896
4,0.5,False,False,None,0.01,0.777474786824
4,0.5,False,False,None,0.1,0.759885133643
4,0.5,False,False,None,1.0,0.747159983835
4,0.5,False,False,None,10.0,0.744638673635
4,0.5,False,False,l2,0.001,0.763709373824
4,0.5,False,False,l2,0.01,0.778382358958
4,0.5,False,False,l2,0.1,0.799523359494
4,0.5,False,False,l2,1.0,0.801872205274
4,0.5,False,False,l2,10.0,0.790253789958
4,0.5,False,True,None,0.001,0.810523652922
4,0.5,False,True,None,0.01,0.797167811414
4,0.5,False,True,None,0.1,0.782649855846
4,0.5,False,True,None,1.0,0.775128361326
4,0.5,False,True,None,10.0,0.773577501635
4,0.7,True,False,None,0.001,0.813383639454
4,0.7,True,False,None,0.01,0.808758637915
4,0.7,True,False,None,0.1,0.806602200734
4,0.7,True,False,None,1.0,0.806302363386
4,0.7,True,False,None,10.0,0.806335973322
4,0.7,True,False,l2,0.001,0.786114317473
4,0.7,True,False,l2,0.01,0.798152812762
4,0.7,True,False,l2,0.1,0.817782610514
4,0.7,True,False,l2,1.0,0.821054382172
4,0.7,True,False,l2,10.0,0.808514190317
4,0.7,False,False,None,0.001,0.802734784615
4,0.7,False,False,None,0.01,0.787170263789
4,0.7,False,False,None,0.1,0.767090829311
4,0.7,False,False,None,1.0,0.75662672072
4,0.7,False,False,None,10.0,0.754715294538
4,0.7,False,False,l2,0.001,0.740817382307
4,0.7,False,False,l2,0.01,0.763280988974
4,0.7,False,False,l2,0.1,0.795177728064
4,0.7,False,False,l2,1.0,0.805290166465
4,0.7,False,False,l2,10.0,0.795766928072
4,0.7,False,True,None,0.001,0.807331664475
4,0.7,False,True,None,0.01,0.800033749578
4,0.7,False,True,None,0.1,0.786449656115
4,0.7,False,True,None,1.0,0.779663945402
4,0.7,False,True,None,10.0,0.778008838056
5,0.1,True,False,None,0.001,0.758338948787
5,0.1,True,False,None,0.01,0.752434171535
5,0.1,True,False,None,0.1,0.750116648993
5,0.1,True,False,None,1.0,0.750021213407
5,0.1,True,False,None,10.0,0.74996817854
5,0.1,True,False,l2,0.001,0.76640113442
5,0.1,True,False,l2,0.01,0.765039727582
5,0.1,True,False,l2,0.1,0.775893118901
5,0.1,True,False,l2,1.0,0.773337782598
5,0.1,True,False,l2,10.0,0.759287148594
5,0.1,False,False,None,0.001,0.735755050276
5,0.1,False,False,None,0.01,0.722353583121
5,0.1,False,False,None,0.1,0.704220166598
5,0.1,False,False,None,1.0,0.68672883112
5,0.1,False,False,None,10.0,0.681757908695
5,0.1,False,False,l2,0.001,0.765407388875
5,0.1,False,False,l2,0.01,0.764901079514
5,0.1,False,False,l2,0.1,0.777504481594
5,0.1,False,False,l2,1.0,0.776616915423
5,0.1,False,False,l2,10.0,0.763460576763
5,0.1,False,True,None,0.001,0.759925226989
5,0.1,False,True,None,0.01,0.753823167516
5,0.1,False,True,None,0.1,0.739945195792
5,0.1,False,True,None,1.0,0.727600504777
5,0.1,False,True,None,10.0,0.723467862481
5,0.3,True,False,None,0.001,0.78478436029
5,0.3,True,False,None,0.01,0.778478854025
5,0.3,True,False,None,0.1,0.776690733541
5,0.3,True,False,None,1.0,0.776162790698
5,0.3,True,False,None,10.0,0.776162790698
5,0.3,True,False,l2,0.001,0.773958823781
5,0.3,True,False,l2,0.01,0.779311520109
5,0.3,True,False,l2,0.1,0.796032553408
5,0.3,True,False,l2,1.0,0.797989185536
5,0.3,True,False,l2,10.0,0.780932889912
5,0.3,False,False,None,0.001,0.768843555438
5,0.3,False,False,None,0.01,0.74877023522
5,0.3,False,False,None,0.1,0.729067641682
5,0.3,False,False,None,1.0,0.709447749309
5,0.3,False,False,None,10.0,0.704790616609
5,0.3,False,False,l2,0.001,0.745622800539
5,0.3,False,False,l2,0.01,0.758307250354
5,0.3,False,False,l2,0.1,0.780977610665
5,0.3,False,False,l2,1.0,0.785189613939
